انيقه 	767	0.0538967189776	0.00964535576247	POS	
مريضه	4749	0.0472745785302	0.0233406490915	POS	
تكفيخي 	12	0.0238564475601	0.0228611395507	POS	
بهيمة 	3	0	0.0228611395507	NEG	
حليم 	1395	0.0217115532939	0.0275510237285	NEG	
مريضه 	3881	0.0438667251258	0.0245945197684	POS	
قادر 	1809	0.0350402250205	0.0202909713999	POS	
حنين 	9327	0.0190260564407	0.0521063966946	NEG	
بتاعت نمر 	1	0	0.0521063966946	NEG	
حاجات 	10486	0.0475882226454	0.0323563314871	POS	
صحي 	10783	0.0457774492984	0.0333742402902	POS	
شبه 	8992	0.0351115869565	0.0423379725656	NEG	
خدمت البلد 	43	-0.0818032256152	0.0550944125767	NEG	
بضان 	1127	0.0103590846872	0.0425957705927	NEG	
كريم 	10277	0.064768624457	0.0138308991921	POS	
حشري 	244	0.0199926925117	0.028812084643	NEG	
حبيبتي انجري 	0	0	0	NEG	
محترم 	9646	0.0613664273133	0.014979006145	POS	
بتحبنا 	33	0.0456414384691	0.000808454528002	POS	
محبوب 	660	0.0379406867181	0.0108076524386	POS	
اخر 	62473	0.0485451063644	0.0512387111147	NEG	
مباريات 	6099	0.0580928921508	0.017841628376	POS	
جاموسه 	264	0.0111662059424	0.0365350033769	NEG	
جامد 	5849	0.022463071369	0.0431699138772	NEG	
ااخر تعيس 	0	0	0	NEG	
محترم بحترمك 	0	0	0	NEG	
واطي 	895	0.0129371326347	0.0329772330232	NEG	
هييييييح 	20	0.0443159702725	0.00257500290178	POS	
تواب 	399	0.0564359224188	-0.0123793543643	POS	
فيه حالات 	68	0.0204214944683	0.0167242130301	POS	
صايعين 	47	0.026228968796	0.0178754278904	POS	
ولاد كلب 	0	0	0	NEG	
جبان 	962	-0.0156427658827	0.0431293929784	NEG	
خصيه 	10802	0.0335551031603	0.0340394614841	NEG	
غتيت بجد 	0	0	0	NEG	
خطر 	2948	0.011737390206	0.0425545242978	NEG	
سميع الدعاء 	48	0.0368943943589	0.00615922986676	POS	
بنت المخانيث 	2	0.0332072234677	0.0166134446091	POS	
شيوعي 	353	0.00660239204457	0.0342350930164	NEG	
اديته اعذار 	0	0	0	NEG	
بنحب مصر 	99	0.0289162650005	0.0180878435478	POS	
قدير 	4444	0.0777100980392	-0.019446824742	POS	
برنس 	519	0.0306417960718	0.0208312397376	POS	
زباله 	664	-0.00235227297977	0.0427023198567	NEG	
حثالة 	8	0.0109098056135	0.0185604881533	NEG	
صيع 	314	0.00752105797869	0.0302949850795	NEG	
مشكوك فيه	270	0.035468737486	0.0203042438784	POS	
طيبان 	43	0.0215264928666	0.0198922848498	POS	
لطيف احبك 	1	0.0215264928666	0	POS	
مبادئ غريبه 	1	0	0	NEG	
بلد 	32107	0.0119443655944	0.0586992067177	NEG	
نذل 	1708	0.0164611513189	0.0374834578759	NEG	
نرجس 	540	0.0570039431175	0.0070331216525	POS	
رغاي 	35	-0.00539957188533	0.042912700196	NEG	
ضلالي 	139	0.0113222280807	0.0294210385677	NEG	
ضعيفه 	2117	0.0220514691	0.0341913020242	NEG	
عميل 	1315	-0.00442370093813	0.0401037329884	NEG	
اغبيا 	74	-0.0017097700683	0.0363574831594	NEG	
اناني 	742	0.00815899854315	0.0285325402468	NEG	
رائع 	2623	0.0755393736125	-0.0109010721036	POS	
حشره 	494	0.00794742897607	0.0346859525858	NEG	
اجبن خلق الله 	0	0	0	NEG	
حاجته نضيفه 	0	0	0	NEG	
اكبر واطي 	0	0	0	NEG	
فاضل بعيد 	0	0	0	NEG	
لزيزه 	247	0.0503138688055	0.00215726445162	POS	
سخيف 	479	-0.00645396951079	0.0421320099067	NEG	
للشعب السوري 	798	0.048370133372	0.0110731441041	POS	
مسليني 	100	0.0535931634088	0.00832794499077	POS	
الناس ثوره 	5	-0.00818996030881	0.0416073463782	NEG	
متعب 	2366	0.0335455262352	0.0282549360177	POS	
اشطه 	801	0.0320659552588	0.0236119432157	POS	
نفيس غالي 	0	0	0	NEG	
مخيف 	207	0.0104510298535	0.0313554676874	NEG	
وليه ناقصه 	4	0.0347784838062	0.0173995400388	POS	
بجح 	315	-0.0069706392977	0.0374294337104	NEG	
حبيبتي متقوليش 	0	0	0	NEG	
ودود 	368	0.0557755848257	-0.0190379387036	POS	
قوي 	10786	0.0347820898857	0.0373428689936	NEG	
متململ 	14	0.0261836962734	0.0225911840077	POS	
بارد 	8507	0.0599903828828	0.0226375119023	POS	
لواطي 	377	0.00260951713682	0.0316021709406	NEG	
كتكوت 	584	0.0266772160559	0.0287691328339	NEG	
مغرور	1475	0.0342296587475	0.0262067279649	POS	
بهتم بيه 	8	0.0370990057918	-0.00696385548958	POS	
جميله 	25343	0.0917422125042	0.00487404734937	POS	
رخمه	1270	0.0377835390461	0.0251183016536	POS	
غفور 	2341	0.0764666056928	-0.020349624225	POS	
عبد الروس 	1	0	-0.020349624225	POS	
هتضيع نفسها 	0	0	0	NEG	
وبتقولي 	248	0.0315746109996	0.0172997965969	POS	
فلانه عشان 	3	0.0483906857117	-0.00170510103522	POS	
عادل 	4661	0.040500796226	0.0259579221968	POS	
حلوه 	3844	0.0529102276512	0.0186322069949	POS	
بيمثل قطاع 	1	0.0529102276512	0	POS	
